__Blurryface__,普通用户,广东 深圳,疫情让蛋糕实现了咸蛋黄自由 ?,收藏转发评论 3赞1,02月01日 22:58iPhone客户端
yule-lee,普通用户,北京 西城区,近日，天转晴步入二月，准备回京针对疫情现状，回京前我俩计划了一周不出门于是睡午觉的功夫一个月的食粮摆在了我们面前（亲爸亲妈啊）途中车不多，顺利抵京年前清空的冰箱顿时被塞满还有冷冻的鸡鸭鱼肉好充实继续宅，看书练琴和冰箱一起充实！奋战在一线的所有人，挺住，加油！ ?,收藏转发评论 5赞4,02月01日 22:58HUAWEI Mate 20 Pro
YURENYI,黄V,广东,共抗疫情，联通沃云在行动！ 远程会诊、视频会议服务免费使用 O网页链接 ?,收藏转发评论赞,02月01日 22:59联通手机客户端
YURENYI,黄V,广东,新型冠状病毒疫情最新消息！ 新增2105例，累计确诊病例11823例 O网页链接 ?,收藏转发评论赞,02月01日 22:58联通手机客户端
zambrotta,普通用户,江西 宜春,#湖南发生一起禽流感疫情#这??从丹麦坐国际航班来的么？ ?,收藏转发评论赞2,02月01日 22:59荣耀V8 脱影而出
ZbAlxklank-C,普通用户,广东 广州,新冠疫情这出人间现形记什么时候结束？长篇连续剧追不动了，球球疫情快点结束，快点好起来吧，习惯了天天纸醉金迷发发牢骚的小市民本人对zfgy对红虱子失去信任了，谁敢相信太平盛世之下埋着那么大一块蛆虫腐肉呢，越来越觉得底层人群不仅没有话语权，危急时刻连基本人权都没办法保证，话说回来谁又敢把自己的生命和权利部分过渡给一群尸位素餐的蛆呢 收起全文d,收藏转发评论赞4,02月01日 22:18
zdgcxhnb,普通用户,广东,疫情看出中国 ?,收藏转发评论赞,02月01日 22:59OPPO超视野全面屏R15
Ze凯凯精,黄V,北京 朝阳区,王凯#王凯北京卫视春晚# 今天都正月初八啦  为什么我才从电视回放中捕捉到这个可爱的宝宝@王凯kkw  粉生又一次从未感受过小十天闷在家里的生活（平时忙到飞起来） 今天突然看到暖暖的 可爱的 索浮浮的宝宝的祝福画面 突然泪目可爱的 辛苦的白衣天使还在一线顽强的抵抗着新冠疫情  真心祝愿天佑武汉 天佑中华 让这场图如其来灾难快快过去 让我们回归天天快快乐乐健健康康的生活?? LZe凯凯精的微博视频 收起全文d,收藏转发评论 1赞7,02月01日 22:05王凯超话
Z-Frosting,普通用户,湖北,小姐姐今天要看破红尘，遁入“新冠”空门，愿我们花开时节相见，走上街头，蓦然回首，粲然一笑，再无口罩 2宜昌·宜昌市中心人民医院 ?,收藏转发评论 12赞30,02月01日 22:14vivo智能手机
ZHD·IVY墨晟19,普通用户,福建 厦门,看繁花盛开，待二月初开，疫情已去， 百家争鸣 ?,收藏转发评论赞2,02月01日 22:57iPhone客户端
zhe糖,普通用户,山东 德州,studyaccount打卡第二天，坚持一件事的感觉真的超棒哎加油吖语文期末成绩不太好，要加强练习，积累素材今天看了一个学姐的分享，关于语文学习的方法真的超棒，要坚持数学作业写完了，明天开始就要再巩固啦阅读计划因为新冠泡汤了，不过明天书店应该就能开门了，又能买买买了，还是喜欢自己摸书页的触感，嘿嘿，开心 2德州 收起全文d,收藏转发评论赞2,02月01日 22:44studyaccount超话
zz小绵羊呀,普通用户,其他,疫情结束吧我想去治痘 ?,收藏转发评论赞,02月01日 22:59三星Note10＋ 5G
Z猪猪是朱朱啊,普通用户,江苏 南京,因为新冠病毒开学也推迟了，在家吃了睡睡了吃，好无聊?? ?,收藏转发评论赞,02月01日 22:56iPhone客户端
阿花不是她,普通用户,山东 烟台,一月是来不及的航班，是从济南??张家港??南通??青岛??家一月是人心慌慌闭门不出的新冠肺炎一月是正式见家长希望可以一直有好多好多爱和勇敢希望我们健康平安顺遂希望，二月安好。 ?,收藏转发评论赞,02月01日 22:38iPhone客户端
阿欢今天学习了吗,普通用户,浙江,“已经上了几天班了这两天一直打电话疫情排查打得有点上头 我疯了哈哈哈哈但是没办法必须每户都要负责到所以关键时期我也能出自己的一份力了 感觉自己长大了”“可是我又有点想家了好像之前开学一样的感觉 现在啥都得自己照顾自己我真的太依赖父母了也不是说我不会 只是这两年的长大让我更想依赖了 诶”“ 我觉得这世上真的没有什么事能超越生死了”“希望疫情快点过去吧拜托了这场硬仗快点打赢呜呜呜”“我昨天看红十字的事真的真的气死了气死了为什么会有这样的畜生啊啊刷新三观还有那种生产卖假口罩的wtm服了真的最可怕的不是病毒是人心啊”“最近都没有好好学习呜呜呜对不住自己了”“今天要早点睡了明天还要继续 希望大家都加油熬过七天这个关键 希望我下周有周末可以休息”“晚安??” 收起全文d,收藏转发评论赞,02月01日 22:57iPhone客户端
阿卡有深度,普通用户,重庆 潼南县,#致敬四川守护者# 赠人玫瑰，手有余香。我在“抗击疫情，致敬四川守护者”项目捐款成功！@四川省科技扶贫基金会http://t.cn/A6P6isrM ?,收藏转发 1评论 1赞,02月01日 22:59微公益
阿强的女王陛下,普通用户,山东 泰安,正月初八，一个普通的日子，往年的今天，已经开始上班了。没开学或者上班的也在到处玩玩逛逛，街上很热闹。可是，打我记忆开始，就没有过这种生活经历。为了新冠肺，国家给大家放假，一直到正月十六，史上最长假期，可是不能出门。这两天越发的收紧了。所有的商店关门，只有超市，药店可以开门。所有的外卖全停了，我们值班的同事，只能吃方便面了！所有的小区社区，全部关着大门，还有值班人员，进出人员登记，测体温。这还是好点的，有的同事根本都回不了家了，路封了，小区也封了！在这个超长假期里，我们的通知是不准休假，全部上班。路上也很少有人。这个春节，有最好的天气，蓝天白云，无雪无雨，连风都很少，只是??很多，很多……我们所有的中国人一起众志成城击败病毒！儿子幼儿园群里每天都要上报健康状况，还要上报外出情况，老爸的单位也是每天都要上报，各种情况。还有奋战在一线的同事，因为工作被禁足隔离的同事，每天都带给大家感动和心疼，让人泪目。加油，中国????加油，我们一定会胜利！ 收起全文d,收藏转发评论赞2,02月01日 22:43iPhone客户端
阿唐的Orlando,普通用户,湖北 黄石,自媒体包涵私心，无限的恐慌放大，资金链断流，经济损失加大……『“新冠肺炎”造成巨大网络恐慌，要想一个办法-沙烨-观察者网』O沙烨：关于新冠肺炎，该转变思路了 ?,收藏转发评论赞1,02月01日 22:51荣耀20
阿湾不淘气,普通用户,江西 赣州,全所员工全部召回，封闭式管理不准外出，每天还要量两次体温。待在这深山老林至少还是挺安全的，疫情快点过去吧，社会运转都不正常了。我感觉我能用这个跟可达鸭一样的口罩憋死自己。 ?,收藏转发评论 10赞1,02月01日 22:59破Android
阿璇啊吖,普通用户,湖南 长沙,湖北新型病毒，湖南禽流感        难不成是要来个病毒会师？#湖南发生家禽h5n1禽流感疫情# 只希望出了正月一切都和平常一样好起来。加油中国！ ?,收藏转发评论赞,02月01日 22:58小米Note2 双曲面
阿悦的备忘录,普通用户,北京,其实如果仅仅是新冠疫情，大可不必担心a股，即便大跌也会很快恢复，但是，这里即便没有新冠疫情，也只可能下跌，股民也好机构也好仓位都到极限了，疫情只是加速加重下跌罢了 ?,收藏转发 1评论 1赞,02月01日 22:42iPhone客户端
哎呀精致的大猪蹄子,黄V,河北 唐山,看完电影，想减肥了，明天早起去跑步吧，多巴胺不能散漫了，疫情过后需要物色个女朋友了，不能懒，年龄不允许了。#Stop and Go# 挑战365天不谈恋爱，今天是第191天。 2唐山·滦县 ?,收藏转发评论 3赞4,02月01日 22:59iPhone客户端
哎呦喂暴躁的FREAKY,普通用户,其他,#新冠病毒来源#我就是想问问你  吃的爽吗？？？打死你亏不亏？？？ ?,收藏转发评论赞,02月01日 22:13华为手机 畅享玩不停
哎呦喂给爷站住,普通用户,江苏 无锡,#新冠肺炎最新动态##新冠肺炎最新动态##肺炎#我就是想问一哈  你吃的爽嘛  ？？？ 打死的你亏嘛？？？?????? ?,收藏转发评论赞,02月01日 22:18道上都叫我赤木刚宪超话
艾今昔,普通用户,辽宁 鞍山,#腾讯新闻# 新冠病毒感染的肺长这样O新冠病毒感染的肺长这样 来自@腾讯新闻 ?,收藏转发评论赞,02月01日 22:42腾讯新闻客户端
爱66的我,黄V,其他,距离去支援还有点时间，静静吧#万众一心打赢疫情防控阻击战# ?,收藏转发评论 3赞27,02月01日 23:00iPhone客户端
爱吃花菜的豆芽,普通用户,海外 其他,两个小姐姐的爱情疫情结束第一个奔向你 L骑自行的豆芽的微博视频 ?,收藏转发评论 2赞8,02月01日 22:57两个小姐姐的爱情超话
爱吃芒果的演员练习生菌,黄V,北京,关于新冠疫情期间停止影视剧拍摄工作的通知#娱乐# ?,收藏转发评论赞3,02月01日 22:05360安全浏览器
爱吃芋头的多多,普通用户,其他,#新冠肺炎最新动态#真让人心寒 2成都·肖家河 ?,收藏转发评论赞,02月01日 22:38小米6X 拍人更美
爱潜水爱逃课的梦,普通用户,河南 洛阳,#抗击疫情 希望同行#赠人玫瑰，手有余香。我在“抗击疫情-希望工程特别行动”项目捐款成功！您每捐款1元，新浪同时配捐1元！ 愿我和@适合纹身的体质 让爱心传递。@中国青少年发展基金会 抗击疫情-希望工程特别行动 ?,收藏转发 1评论 1赞,02月01日 22:59微公益
爱潜水爱逃课的梦,普通用户,河南 洛阳,#抗击疫情 希望同行#小善意，大温暖。我在“抗击疫情-希望工程特别行动”项目捐款成功！您每捐款1元，新浪同时配捐1元！ 和@适合纹身的体质 一起用善举温暖更多心灵！@中国青少年发展基金会 抗击疫情-希望工程特别行动 ?,收藏转发评论赞,02月01日 22:58微公益
爱情小镇新林,蓝V,None,"好消息！哈尔滨首批两例治愈患者出院了！O网页链接1日下午，哈尔滨市传染病医院传来好消息！哈尔滨市两名新型冠状病毒感染肺炎确诊患者，经过积极科学治疗后，通过两次核酸检测和省市专家联合会诊，确认痊愈。宣布可以解除隔离出院。下一步由居住地疾控和社区对患者进行健康管理。1、姜x，49岁男性，武汉打工。2020年1月13日在武汉时出现发热、咳嗽、咳黄痰,咽痛症状，经治疗后体温正常，仍有咳嗽等症状。于1月20日在汉口乘火车，1月22日到达哈市就医,通过流行病学史、血常规及CT表现，符合新型冠状病毒性感染的肺炎疑似病例，予以隔离治疗。经核酸检测阳性，确诊为哈尔滨市第一例新冠感染的肺炎。1月23日17:40经120转送至哈尔滨市传染病院隔离病房。入院后按照新型冠状病毒治疗指南给予患者相应治疗，包括对症治疗、干扰素雾化吸入、抗病毒治疗并联合中药等综合治疗。经复查患者肺CT明显好转，且超过三天以上无发热，患者2次核酸检测阴性。经省市专家联合会诊，经确认治愈可以解除隔离出院。2、姜x，29岁男性。1月22日乘高铁从武汉至哈尔滨，同行者中有人发热，从车站来到哈尔滨市传染病院,进入留观病区。肺CT检查符合新冠肺炎的影像学改变，列为疑似病例。经核酸检测阳性，确诊为新型冠状病毒性感染的肺炎。按照治疗指南给予患者相应治疗，并联合中药治疗，经复查患者肺CT基本恢复正常且超过三天以上无发热，患者2次核酸检测阴性，经市新型冠状病毒感染的肺炎专家组会诊，认为已经治愈，可以解除隔离出院。“这两名患者的痊愈出院，给了我们医疗战线抗击疫情的医务人员极大的鼓舞！连日的疲惫仿佛一扫而光。冰城的冬天很冷，但在这最寒冷的时节，我们感觉到了春天的气息。”哈市传染病院王静伟院长在现场表示。 收起全文d",收藏转发评论赞,02月01日 17:44微博 weibo.com
